譲渡益税履歴

検索開始年月日,検索終了年月日
"2020年10月23日","2020年11月26日"

譲渡益税徴収額合計,所得税,地方税
"19497","14699","4798"

損益合計金額
"140860"

明細数：299件

銘柄コード,銘柄名,累投区分,約定日,数量,受渡日,譲渡益税計算処理分類区分,商品,売却/決済金額,費用,取得/新規年月日,取得/新規金額,損益金額,譲渡益税徴収額,地方税
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","278385","15","2020/10/23","277100","+1285","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","276485","15","2020/10/23","276400","+85","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","276585","15","2020/10/23","276400","+185","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","274685","15","2020/10/23","274300","+385","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","270586","14","2020/10/23","270300","+286","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","276785","15","2020/10/23","276700","+85","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","276885","15","2020/10/23","276700","+185","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","277285","15","2020/10/23","277100","+185","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","270386","14","2020/10/23","270100","+286","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","270286","14","2020/10/23","270100","+186","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","278485","15","2020/10/23","278300","+185","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","269786","14","2020/10/23","269500","+286","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","274686","14","2020/10/23","269500","+5186","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","271386","14","2020/10/23","271200","+186","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","275785","15","2020/10/23","275400","+385","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","275585","15","2020/10/23","275500","+85","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","270186","14","2020/10/23","269900","+286","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","271186","14","2020/10/23","269900","+1286","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","270486","14","2020/10/23","270300","+186","",""
"3681","ブイキューブ","","2020/10/21","100","2020/10/23","信用売決済","株式","276285","15","2020/10/23","276600","-315","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","242687","13","2020/10/23","242500","+187","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","253574","26","2020/10/22","243600","+9974","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","246887","13","2020/10/23","246800","+87","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","249587","13","2020/10/23","248800","+787","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","251063","37","2020/10/21","230700","+20363","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","249287","13","2020/10/23","249200","+87","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","253587","13","2020/10/23","253400","+187","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","249687","13","2020/10/23","249500","+187","",""
"3031","ラクーンホールディングス","","2020/10/21","100","2020/10/23","信用売決済","株式","249487","13","2020/10/23","249200","+287","",""
